,0,1,2,3,4,5
0,3.0,48.0,34918.56,43.13392,147.4421,3788.474047
1,7.0,89.0,14731.91,39.52545,124.9607,3807.283723
2,1.0,88.0,62359.81,7.604093453,162.482694,844.8711719
3,1.0,34.0,47077.88,61.54459,257.6375,6284.948965
4,5.0,46.0,46369.85,1.356734,159.9512,437.7915053
5,0.0,77.0,8167.63,71.59439,127.4887,6018.175438
6,0.0,39.0,47285.08,9.705809585,152.510442,1559.323963
7,4.0,81.0,24859.24,2.744401393,104.962874,484.8207127
8,3.0,27.0,49626.73,9.175977,174.9699,1754.124518
9,0.0,75.0,20768.72,19.79804917,204.949594,1862.842794
10,1.0,22.0,15380.9,6.417132666,127.460067,1155.782468
11,7.0,54.0,54726.01,62.37954,92.5018,5394.351469
12,1.0,75.0,37556.53,11.21716,159.9794,1528.092146
13,1.0,84.0,34604.65,5.173292,232.6378,1366.649837
14,2.0,86.0,6689.37,40.731,242.6106,4313.243257
15,1.0,20.0,25167.86,63.05897,255.1372,5932.37794
16,6.0,21.0,48511.64,20.0119,194.9663,2739.364415
17,2.0,78.0,8406.68,2.560691,207.6386,751.4491239
18,1.0,22.0,39281.35,7.931439645,204.963371,1262.007891
19,1.0,70.0,1509.52,2.378630018,214.966286,648.7471776
20,1.0,24.0,23800.51,67.99357,159.9476,6327.983433
21,0.0,72.0,26759.06,9.38354759,142.452604,1470.820856
22,0.0,68.0,122263.81,7.825845378,162.471255,863.0820861
23,2.0,61.0,41817.73,9.821119931,139.965008,1566.414462
24,2.0,62.0,4662.37,3.343811019,184.979684,1026.387172
25,3.0,55.0,14106.94,45.62851,175.1331,4267.521539
26,3.0,58.0,27204.24,69.29855,192.4885,5995.290634
27,6.0,34.0,15548.43,62.5003,124.9607,5921.61952
28,3.0,81.0,19645.07,69.62503,104.9629,5934.090437
29,3.0,74.0,64446.9,14.12966281,222.660939,1854.793303
30,3.0,76.0,42529.4,3.985217,149.9915,583.5711218
31,2.0,23.0,21183.28,1.597599,204.9797,679.9648888
32,5.0,55.0,10315.72,14.80885,172.4885,2097.707886
33,1.0,73.0,37149.4,9.797427154,142.499263,1250.94478
34,2.0,51.0,3710.56,65.15995,172.4555,5804.098375
35,4.0,24.0,113912.9,65.52159,129.9483,6233.347563
36,0.0,88.0,6362.72,58.19013,217.484,5124.938421
37,8.0,50.0,9085.42,67.28651,184.9797,6489.765211
38,7.0,62.0,41195.08,6.895966,127.4887,1063.884067
39,4.0,80.0,25062.7,60.04825,200.1323,5943.557361
40,1.0,60.0,45091.73,12.94793,144.9607,1126.457158
41,1.0,39.0,29261.65,71.4959,235.1372,7021.93656
42,2.0,49.0,13638.46,63.18349,184.9785,5651.568466
43,0.0,27.0,31038.27,4.741795,207.4974,855.8268713
44,7.0,50.0,30988.8,46.778,134.9509,4137.953493
45,4.0,66.0,5601.94,29.70527547,164.967019,3293.015758
46,1.0,52.0,80678.93,9.30555,172.4579,1204.289565
47,0.0,54.0,46724.11,68.85746,137.4698,6114.267462
48,2.0,67.0,43140.04,67.5746,207.4673,6026.66605
49,1.0,47.0,35302.52,11.73724209,262.610632,1668.199119
50,5.0,84.0,59919.2,24.94738,159.983,2265.62602
51,1.0,67.0,23011.03,67.53219,184.9634,6411.520424
52,6.0,21.0,49241.33,65.85662,172.4705,6484.077095
53,3.0,24.0,91326.09,61.82003,130.0064,5640.896253
54,4.0,42.0,9374.34,55.40847,157.4698,4843.560902
55,6.0,40.0,21043.89,58.86869,152.5104,5686.767897
56,3.0,58.0,142086.1,22.97518,179.9656,2196.794349
57,4.0,79.0,33028.84,70.36489,162.4676,6602.646284
58,1.0,49.0,3780.35,68.63549,152.509,6081.602554
59,4.0,58.0,33690.02,59.29981,240.1149,5527.671776
60,10.0,36.0,15625.8,58.17786,159.9942,5515.361269
61,1.0,50.0,10181.73,6.524843094,124.964303,561.4934455
62,2.0,81.0,15094.07,65.55327,152.4798,5730.023775
63,1.0,18.0,21051.88,65.81421,137.4872,5695.712663
64,3.0,88.0,57580.18,56.88725,182.4433,5445.967827
65,5.0,44.0,23545.0,50.64337,235.1417,5341.03502
66,0.0,38.0,37585.88,12.00677,245.1283,2177.704307
67,0.0,31.0,68058.4,57.51975,252.6378,5385.294842
68,3.0,75.0,17740.18,59.46147,192.4705,5277.177679
69,3.0,49.0,92969.94,58.69465,117.472,5147.718209
70,0.0,47.0,51909.42,1.532973151,220.132293,720.5035962
71,1.0,49.0,40675.75,52.09557,104.9781,4879.170769
72,0.0,23.0,6820.51,64.48112,149.9447,6048.807482
73,4.0,38.0,26393.06,63.28097,114.9728,5414.545503
74,8.0,35.0,21801.03,4.964368923,92.455141,1193.589255
75,0.0,61.0,24518.97,21.05353987,204.949594,2050.67636
76,0.0,26.0,13101.08,62.11937,149.9598,5481.366195
77,0.0,69.0,80110.69,58.04171,149.9447,5417.412777
78,1.0,55.0,16090.91,2.255314,162.4526,520.7155239
79,0.0,77.0,48079.33,14.75827,182.497,1524.896385
80,0.0,53.0,13227.96,57.10479,232.624,5611.83506
81,1.0,25.0,60460.44,52.11755,252.6378,4993.106421
82,0.0,41.0,40574.0,13.26061,147.4601,1292.234972
